time,description,link,price,title
2018-02-28 09:42:00,"This guitar is great! Compact (I bought it to use as a travel guitar while I was off on work) and in good shape for its age. I've tried to capture its condition in the photos here. Everything works well, sounds great. Does not come with an original bag or case but I'll give you a very lightweight bag to carry it home in if you like.    ",https://newyork.craigslist.org/brk/msg/d/hohner-g3t-steinberger/6501973583.html,475.0,Hohner G3T Steinberger Headless Guitar
2018-02-28 09:30:00,"old, used guitar case. has scuffs on the outside

negotiable, must pick up    ",https://newyork.craigslist.org/mnh/msg/d/guitar-case/6513157929.html,45.0,guitar case
2018-02-28 09:22:00,"(unframed) 16 X 20 photographic art prints of Guitars by G.Woods. 
A variety of beautiful creatively shot photos, framed, in a black wood moulding, dry
 mounted with glass. Or if you wish unframed. 16 titles ready now, more to come.
$59 for prints, $129 framed ready to hang.  Martin, Gibson, Regal, Tele, Strat, Guild,
Epiphone, Takamine....pick your favorite axe.

If you don't see your favorite ""askme""


http://www.thepicturefarmer.com/

Available now at the

Frame Center
 73 East Main Street
 Smithtown NY 
show contact info

",https://newyork.craigslist.org/lgi/msg/d/fender-gibson-etc-photos-of/6493484917.html,59.0,"fender, gibson, etc - Photos of Guitar prints - pick your favorite"
2018-02-28 09:16:00,Very rare vintage 1973 Hayman 4040 Bass. Made in England plays beautifully sounds amazing serious inquiries only no trades please reply with a phone number where you can be reached thank you .    ,https://newyork.craigslist.org/que/msg/d/rare-vintage-1973-hayman-4040/6507440155.html,949.0,Rare Vintage 1973 Hayman 4040 bass  guitar
2018-02-28 09:15:00,"Original 1954 vintage SUPRO Lap Steel (also known as Hawaiian style) guitar - ""Airline"" model

In great condition - No issues + all original parts. Comes with original case.


PRICE: $450

*Priced to sell! Same model offered on the Guitar Center website for $599! 
(So please don't ask to haggle; we priced it low from the start to keep things simple.)


Info from original catalog page:

""The finest new Hawaiian Guitar of the famous SUPRO line. Designed exclusively for the professional artist. Constructed of the finest materials and carefully styled to meet the taste of the most discriminating artist.

Here is a truly superb instrument that any professional can play with pride. The performance of this instrument will equal them all. Your playing pleasure is doubly assured and protected by the reliable written SUPRO guarantee.

The instrument is finished in an all new durable glossy two-tone plastic in shining Ebony Black and sparkling Arctic White. Finish will not chip or crack. New artistic fingerboard is of radiant plexiglass with positions marked in burnished silver."" 

***

We can deliver near to you in Manhattan for $8, or nearby in the boros for $10, OR, you can pick up from us in Upper Manhattan - one block from an A express subway stop, 20 minutes from Columbus Circle. 

WE FOLLOW CRAIGSLIST'S WARNINGS AND NEVER SHARE (OR REQUEST) ANY PERSONAL CONTACT INFORMATION, BUT INSTEAD RELY ON THE SITE'S SECURE EMAIL RELAY SYSTEM FOR ALL COMMUNICATION. PLEASE DO NOT GIVE US YOUR PHONE NUMBER OR ASK FOR OURS!!
",https://newyork.craigslist.org/mnh/msg/d/supro-lap-steel-guitar/6513134896.html,450.0,SUPRO Lap Steel Guitar (Vintage Original 1954)
2018-02-28 09:13:00,"I bought this but only opened it to test it but never got around to using it before I sold my iPhone and later sold my iPad! 

It's new, in the box. Works perfectly. 

You save tax + shipping + $5 from the amazon price. 

Must have for any musician or guitarist working today. 

",https://newyork.craigslist.org/mnh/msg/d/irig-2-guitar-interface-for/6513140438.html,30.0,iRig 2 Guitar interface for iOS
2018-02-28 09:05:00,,https://newyork.craigslist.org/que/msg/d/univox-guitar-wanted/6483867916.html,,Univox guitar wanted
2018-02-28 09:02:00,"Talman  TM302 electric guitar ivory w/rosewood fret board and locking tuners.   This guitar is like new.  Plastic still on pu and pick guard. No issues or marks.   Very comfortable, sounds great.   I liked it so much I bought the high end model so I no longer need this.
",https://newyork.craigslist.org/wch/msg/d/ibanez-talman-302-guitar/6510511031.html,279.0,Ibanez Talman 302 guitar - Excellent like new
2018-02-28 08:52:00,first act guitar---clean-------good cond    ,https://newyork.craigslist.org/wch/msg/d/electric-guitar/6513120100.html,55.0,electric guitar
2018-02-28 08:52:00,very clean fender guitar---looks and sounds great    ,https://newyork.craigslist.org/wch/for/d/fender-squier-guitar/6513120366.html,95.0,FENDER SQUIER GUITAR
